track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
16zol4GvHyTER5irYODUk0,0.0019277108433734,0.2897757751314236,0.8358324998996475,0.0001501501501501,0.1588662365070229,0.8452696571235387,0.040961049957663,0.6654119064199807,0.385
44wmipyYIMNes23rkM8qYz,0.8514056224899599,0.1717626864070378,0.1080899842108903,0.2442442442442442,0.3274968949744024,0.6020711375242433,0.0130186282811176,0.2183894524853663,0.0428
4xocpBNAf4IXITiT4ASIJ3,0.0386546184738955,0.6169938847763115,0.5295199692245999,0.0,0.1013096644552825,0.853454564865394,0.0098433530906011,0.3982326701925429,0.399
3dzEZARDL4ZwICMKVta7Xn,0.00429718875502,0.7382255122840896,0.7727681553489024,0.1141141141141141,0.0631405693051811,0.8631163146563229,0.0721845893310753,0.483399521936346,0.17
6H6gvUpJkMoimKWQQyXNaX,0.9146586345381528,0.2296963845080999,0.154136965946355,0.0296296296296296,0.6869730291922893,0.698813188377431,0.0155588484335309,0.2253533718544729,0.165
4jqa6EVFnjnnzP1Ud5Kmkx,0.7178714859437751,0.7832850552515824,0.2242084598916274,0.0,0.1295830682701725,0.7624419494315049,0.0152413209144792,0.5442914682577027,0.657
3KnLHwhRhJGuQM822JVSoI,0.3835341365461848,0.6041197296427421,0.4974872862781895,0.0482482482482482,0.1851201114779921,0.7628334015408978,0.1024555461473327,0.590657996273362,0.55
5i0n3xtjuVFLp646joI9XS,0.0299196787148594,0.9356292243321532,0.6106026979327007,0.0,0.0869710096634455,0.825483532321489,0.3162574089754446,0.4973650034819596,0.868
0xcNCh68MRPmaY9c8m5SuH,0.0711847389558233,0.5504774165862031,0.7157099388506092,0.0,0.0654630274756899,0.8729026173911497,0.0230736663844199,0.5535986523874951,0.831
33AktILjGd5ZeElQ22Cgx0,0.8995983935742973,0.1781997639738225,0.0332135878236564,0.5035035035035036,0.0797007058253309,0.4348143271472038,0.0123835732430143,0.2994344168188063,0.246
2ekfzRwLFWDis4G34Kkfx9,0.7951807228915664,0.6448878875657118,0.6236159753796798,0.80980980980981,0.1427100057556571,0.7935090122951549,0.0292125317527519,0.3605851574410419,0.656
4YBpcgPkoUMxdNL2yFZkI5,0.392570281124498,0.7328612809784357,0.4484372405164989,0.0014714714714714,0.0835378106287803,0.8236686179961211,0.0374682472480948,0.5157299881425157,0.233
26h3quLOSrdc1AvJGPjqUr,0.9417670682730924,0.5215105675356722,0.3393259142302891,1.1211211211211212e-05,0.3446628901477285,0.7817298624579634,0.0151354784081286,0.3792606952626527,0.367
5gQbAyvNJMGoyAGOcwXI6x,0.1757028112449799,0.804741980474198,0.5945863564594955,0.0591591591591591,0.3133601930669574,0.7920143769683814,0.0077265029635901,0.4691564246861531,0.83
2oNMhDpqWkI3oIjOGmqV0z,0.0694779116465863,0.6395236562600579,0.955955060948686,0.0,0.0367857178920157,0.8732762762228431,0.1776037256562235,0.4036767612128512,0.904
5ikN10ze7dNNl5SwL7ZGMn,0.924698795180723,0.5504774165862031,0.7737691766909778,0.0,0.7576565387295143,0.7109304104909165,0.951312447078747,0.3012177448194085,0.318
3GPzpZlnHgUfBPkuEtQymR,0.966867469879518,0.2060937667632227,0.2572421641801129,0.1111111111111111,0.1114073086748861,0.6631020800341632,0.0236028789161727,0.2315973725320434,0.115
3jAoLij05OiNndX2XlSRdS,0.1596385542168674,0.6641991202660659,0.645638444905337,0.0017217217217217,0.0972706067674411,0.7672817209658191,0.0814987298899238,0.5678370442867628,0.537
