track_id,track_name,artist_name
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind
4sbtM9ORGwmxGkXfctXbJq,NO FUN,Joji
7i6r9KotUPQg3ozKKgEPIN,Seven Nation Army,The White Stripes
2UREu1Y8CO4jXkbvqAtP7g,Monster,Skillet
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean
1M321puDN1WBd5NF0ogOKW,Habit,Still Woozy
5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold
5aqu5xhPqoOWqF71PkfgM8,ATTENTION,Joji
1vNoA9F5ASnlBISFekDmg3,Zombie,Bad Wolves
6n9yCXvLhnYMgJIiIcMu7D,Rockstar,Nickelback
6nULLS7CipGMSzgQDxDpd1,Bad Company,Five Finger Death Punch
0y1QJc3SJVPKJ1OvFmFqe6,Way Down We Go,KALEO
5mkGfmJGFZpwK9nA5amOhv,Sex & Candy,Marcy Playground
40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed
61mWefnWQOLf90gepjOCb3,Duality,Slipknot
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers
6lSr3iZTC144PKhvbPFzMp,Blurry,Puddle Of Mudd
37EJtTS7jT5WUyXGZzrwnI,Santa Monica,Everclear
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte
1YWnrz4pqjtt2zlEOuDIFg,Bouncin (feat. Offset),Kiana Ledé
0faXHILILebCGnJBPU6KJJ,The Diary of Jane - Single Version,Breaking Benjamin
2yXyz4NLTZx9CLdXfLTp5E,I Will Not Bow,Breaking Benjamin
1jJci4qxiYcOHhQR247rEU,Kids,MGMT
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun
6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Slipknot
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace
51UtgWS4z1eMPuLQOzPtNH,Amber,311
2T64m94VBrsEISkAYq6Cnq,Cooks,Still Woozy
77UXyXy6qie0sOtLdEIH4A,Demons,Joji
0nXyCNdS6fkZNP11DwGq1i,Lucy,Still Woozy
5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,Lifehouse
0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI
6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand
7CpbhqKUedOIrcvc94p60Y,Bodies,Drowning Pool
4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors
3ow0TQVttXQF8rLckmXgRx,Cherub Rock - Remastered 2011,The Smashing Pumpkins
1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed
3HE50TVRquwXe9yv2HFoNL,Never Too Late,Three Days Grace
0lVYRIVjK77Z6uG2GgM8Kl,I Can Only Imagine,MercyMe
4dVbhS6OiYvFikshyaQaCN,My Hero,Foo Fighters
1MQ8ydvrTnn2QJgXFATJvD,Ex Calling,6LACK
3Xfg7AegXaDLoD5GOUMf2e,My Demons,Starset
2I88NEWpKrAPZuapXNV5G6,Belong to You (feat. 6LACK),Sabrina Claudio
5Xak5fmy089t0FYmh3VJiY,Black,Pearl Jam
1x1BKrrpq7CfOZPBeUsx16,Grey Luh,Berhana
4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,MGMT
5O9Dz0h08LuBi0aVvDcylh,The Resistance,Skillet
2q0VexHJirnUPnEOhr2DxK,Biking,Frank Ocean
0UeYCHOETPfai02uskjJ3x,Shooting Stars,Bag Raiders
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,Rage Against The Machine
1G8jae4jD8mwkXdodqHsBM,Name,The Goo Goo Dolls
77A7dWpSxVoauUbJn83Oj3,Country Boy (feat. George Jones & Charlie Daniels),Aaron Lewis
29ZZAShKhwRUuKULSNtxX6,Switch,6LACK
17YuXw2ScwLLL1sUrRKhoW,Fantasy,Alina Baraz
4KoNBTm9a55KgLMtEaf3n6,If You Could Only See,Tonic
4zMmqb0pYwX6b0qc0slCoT,Only Child,Tierra Whack
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,The Black Keys
4QJLKU75Rg4558f4LbDBRi,If Today Was Your Last Day,Nickelback
5pRElcsPZrgZXkoON2o5Go,Comatose,Skillet
1zN6ynJG4PdR61YWv4PQ3Y,All Around Me,Flyleaf
2D9BrlpeyjXF0vli2dYQ5V,Angels Fall,Breaking Benjamin
2ktoFujjJtantyMoVdBJlX,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown
3zjjzKg16tczCMwckGKGuH,Happy Pills,Weathers
5wBLDkxVvclanSitx5jq8e,Undead,Hollywood Undead
6Nm8h73ycDG2saCnZV8poF,Dragula,Rob Zombie
6LOZws7T3jqZz78unPgFF9,Dead To Me,Kali Uchis
0T1hQWoeHLABtNE0gpPCd0,Wolfcat,Still Woozy
7bEDDsy2LFC0KSqhZp5nPE,Sweet Disaster,DREAMERS
3rjM7GhxdVq1YySsHBs21i,Animals,Nickelback
0leJYiYyZE6jjXCEVYUQAm,Heroin,Badflower
1bnswV3i4J3u9QVcdVMd39,Ghost,Badflower
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),Limp Bizkit
0xMEF2WiqKWTIG7Krjungw,The Distance,Cake
2SgbR6ttzoNlCRGQOKjrop,Cowboys from Hell,Pantera
0LtsuNRz3IMRrHCYO9fKRk,Beautiful Disaster,311
3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,A Tribe Called Quest
53eJFr4Mfbw5PXJ01K6cFw,Daughter (Remastered),Pearl Jam
7kpa6MWRrPaF3b6C0DgioK,Always,Saliva
1kcfGBb6kSrGqNIMW7rAlB,Oh Devil,Electric Guest
5qxChyzKLEyoPJ5qGrdurN,No Sleep Till Brooklyn,Beastie Boys
663Karu2rvKLdnY0eo1n3M,Call Me When You're Sober,Evanescence
1L82mjibDdF0YAv9FWp00s,Lift Me Up,Five Finger Death Punch
4JXfNOePhdgMOI7KZ1L25U,Breath,Breaking Benjamin
6RD9GItAGZ3gbUbx14okHF,One I Want (feat. PARTYNEXTDOOR),Majid Jordan
6sREV6MpLHTqcOmBK5mvYF,Face to the Floor,Chevelle
582ndoUAn4YIN30NUnK6S2,Westcoast Collective,Dominic Fike
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur
2nBWxgSZ79w9l6t2rUg6pl,Call Me,Shinedown
3y8rEUEUdmAcPCpPoLotnO,Run-Around,Blues Traveler
5TVlcZRCVoJVi9OaDvGxEB,Unravel Me,Sabrina Claudio
2aIB1CdRRG7YLBu9hNw9nR,The Beautiful People,Marilyn Manson
3xgK660fsZH7ZDcOMfIdfB,Jungle,X Ambassadors
6lJ5aSxKHCwNBoWkZT3JeJ,Cutting Ties,6LACK
4pJM8ZZ3YIO4xOeD5k8s5P,Save Me,Skillet
4G3dZN9o3o2X4VKwt4CLts,Passin' Me By,The Pharcyde
5YBVDvTSSSiqv7KZDeUlXA,Renegades Of Funk,Rage Against The Machine
0d8anwJJGti8jE79Y4tXUD,Know Myself,Justine Skye
73HWH7cgqKwk5v4nB4dEzL,Remember Everything,Five Finger Death Punch
5GUvXUx0GbyBKO2f8yQxFn,Mona Lisa,Monte Booker
18oWEPapjNt32E6sCM6VLb,Heads Will Roll,Yeah Yeah Yeahs
4HcDu9IGRCvSTJE4yW5Ugv,Breaking the Habit,Linkin Park
0q2bjrLKP9FAGQalGgrk1P,Like You,Asiahn
6rJmWa5DvQ3Nby3tdcX2L0,East Atlanta Love Letter (feat. Future),6LACK
4wh0E9OwMCxcaIKTg0Mts9,Failure,Breaking Benjamin
3s5NrHgyTkuinl0TgHCHeK,Hurricane,The Band Of Heathens
4UJmPSJsBsIR1U0N79BU1g,Lake Of Fire,Nirvana
3td69vL9Py7Ai9wfXYnvji,When You Die,MGMT
2wXioTynVwrEWYRv6R6vEj,Void,The Neighbourhood
2C0KFbb4v9CNWR5c9jWcKC,Andromeda (feat. DRAM),Gorillaz
5TU1cWjUGyVKjSnIIxRSEf,Promise Me,Badflower
36QG29bbGuJkxNgzY6o9Mu,Love-Hate-Sex-Pain,Godsmack
1T8IRUJBga0JXioJZvxjBR,DEUTSCHLAND,Rammstein
3bq8WiQrEXMwPAibYs7tpu,Nobody Praying For Me,Seether
6Hmj7SrLRbreLVfVS7mV1S,Wake Up,Arcade Fire
68dd9CEzAUc4zeukKzMJP5,Broken (feat. Jessie Reyez),THEY.
5vgdeMt4uKUN2BeltZjoDh,UGH!,The 1975
3s0h3pyKFrS3XX6ZLBPx6s,Oh My Soul,Casting Crowns
2jz1bw1p0WQj0PDnVDP0uY,Feels Like Summer,Weezer
2hjGuRIEfEGzQ5MEWLowiU,Cannonball,The Breeders
7CEV9VwA8XO9wwxTXgYKvY,I And Love And You,The Avett Brothers
38nNeYynBC9Q42IVn0I0zn,Weird Ways,Strand of Oaks
1cGYfWYwYpIjZSYciLYiSD,Always Gonna Be You,Kenny Chesney
28ZNLu9kNIbeF2F3tze3XB,Dirty Side (feat. Walker Hayes),Colt Ford
0rz23EjfuvpmkKL4EKyyy9,Breakers,Thompson Square
2pey6ClOaWssXa4tVBGVJP,Wildflower,the JaneDear girls
4qA8M5hJn45rtFyWH5Ixar,Fish And Whistle,John Prine
3Xd39NB1rifow2RDNVgSFp,Sunshine (Go Away Today),Jonathan Edwards
2X24Lnb48oWOzMQBBan1qY,The Greatest Man I Never Knew,Reba McEntire
0RqFAfEiG1m8T6Wpp3ox2h,Lodi,Jeffrey Foucault
1KzxCdjKTNAm7xaN4l3aT9,Lady Down On Love,Alabama
5kIAr777wX9wvEC0aVEleQ,Cumberland Gap,Jason Isbell and the 400 Unit
3YOv5LNRVbrmWnVVyk3Flj,New Birth in New England,Phosphorescent
6617eD33ZOXYQVPiOALrfb,Lost and Found,Brooks & Dunn
0xcNCh68MRPmaY9c8m5SuH,Get Up,Cole Swindell
14g6foD6sxO1qgkDKuPgWv,Swingin Party - 2008 Remastered Version,The Replacements
3yP6foM6OwBJEPLSTvnlMN,Magic,Kip Moore
03xNUQYx0Mb7Sdsq0YcZgY,At the Beach,The Avett Brothers
1gw7hp2WigAKn9XCFxhTkW,Strangers,Cold California
0M07TE03OtknRNCKJ15Rvf,We All Carry Something,Joe Nichols
4cHYaDubVO44HdsNHkiTOi,Loving Arms,Dixie Chicks
06K1VUOw4tUEmCeYbCgb1f,American,Morgan Evans
0Z3zO5I2C5jBwBicXN5F5o,Lose It All,Brett Eldredge
6A62l5awjnwwsgMlXGQnys,They're Playing Our Song,Neal McCoy
60E8Jx9OsSkoYPQWijCpuQ,You'll Always Be My Baby,Sara Evans
4HsGYQ7IvmE2obXaK6iyxB,"Dancin', Shaggin' on the Boulevard",Alabama
2Zcr8xMMZyNT5wMsj3SWmw,Oh My Sweet Carolina,Ryan Adams
4IYmJKwEsFTwQUdzsWSiv1,Neither Do I,Stwo
3iGNoYKIabGohB9A0C7dKU,MICHUUL.,Duckwrth
5tFMuAw6X2R4NLx97g7n9q,Primadonna,MARINA
2qoac9iEajoV0V6eJcCvkJ,Confidence,Sanctus Real
1V8fHRK9qQeQqZWWfz9oNU,The Mystic,Adam Jensen
0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def
5zcLnqZbAjDGXX7HNcT1rE,Hate My Life,Theory of a Deadman
7dQeS4ErW1iWvnKdrtKwKr,Around Me,Brent Faiyaz
3pfuy1uQhG7g6Ttbo2Jh0N,Trouble,Omar Apollo
045sp2JToyTaaKyXkGejPy,Fake Plastic Trees,Radiohead
77VW8u6inET54YAKN1RSnd,Twisted Transistor,Korn
6hqIXyo6GxydAnoI8XeIrV,Rusty Cage,Soundgarden
5hkgrWxkobGtg30I7DsfVu,Ten Thousand Fists,Disturbed
6p5zh0HCAeE5WkWAxSxjeg,Push It,TWENTY88
4KXAulHeLjKCVoHrCAMdto,Likes,Yuna
0HAr4QR1xI8nwC7VfzYidu,Dead Memories,Slipknot
360NCp4XoQ0sFi5jgu5Ww7,Insecure,Jazmine Sullivan
